,Preis MC Auktion [EUR/MWh],MC Referenzpreis [EUR/MWh]
15.10.2024 01:00:00,89,30
15.10.2024 02:00:00,85,36
15.10.2024 03:00:00,84,63
15.10.2024 04:00:00,81,4
15.10.2024 05:00:00,77,2
15.10.2024 06:00:00,85,96
15.10.2024 07:00:00,111,74
15.10.2024 08:00:00,181,50
15.10.2024 09:00:00,171,22
15.10.2024 10:00:00,110,53
15.10.2024 11:00:00,92,70
15.10.2024 12:00:00,83,5
15.10.2024 13:00:00,78,47
15.10.2024 14:00:00,72,6
15.10.2024 15:00:00,77,33
15.10.2024 16:00:00,88,99
15.10.2024 17:00:00,102,89
15.10.2024 18:00:00,138,64
15.10.2024 19:00:00,162,19
15.10.2024 20:00:00,148,98
15.10.2024 21:00:00,107,86
15.10.2024 22:00:00,87,6
15.10.2024 23:00:00,75,74
16.10.2024 00:00:00,58,91
16.10.2024 01:00:00,46,88
16.10.2024 02:00:00,12,80
16.10.2024 03:00:00,5,30
16.10.2024 04:00:00,3,61
16.10.2024 05:00:00,3,55
16.10.2024 06:00:00,34,32
16.10.2024 07:00:00,82,33
16.10.2024 08:00:00,108,52
16.10.2024 09:00:00,87,54
16.10.2024 10:00:00,54,29
16.10.2024 11:00:00,26,68
16.10.2024 12:00:00,14,17
16.10.2024 13:00:00,4,9
16.10.2024 14:00:00,2,4
16.10.2024 15:00:00,4,0
16.10.2024 16:00:00,14,18
16.10.2024 17:00:00,61,71
16.10.2024 18:00:00,95,74
16.10.2024 19:00:00,86,97
16.10.2024 20:00:00,80,23
16.10.2024 21:00:00,67,40
16.10.2024 22:00:00,55,4
16.10.2024 23:00:00,35,14
17.10.2024 00:00:00,26,54
17.10.2024 01:00:00,17,4
17.10.2024 02:00:00,12,15
17.10.2024 03:00:00,10,48
17.10.2024 04:00:00,5,61
17.10.2024 05:00:00,10,1
17.10.2024 06:00:00,29,6
17.10.2024 07:00:00,69,55
17.10.2024 08:00:00,98,82
17.10.2024 09:00:00,91,99
17.10.2024 10:00:00,73,76
17.10.2024 11:00:00,52,6
17.10.2024 12:00:00,19,5
17.10.2024 13:00:00,0,0
17.10.2024 14:00:00,-5,91
17.10.2024 15:00:00,1,40
17.10.2024 16:00:00,65,0
17.10.2024 17:00:00,91,38
17.10.2024 18:00:00,115,28
17.10.2024 19:00:00,170,39
17.10.2024 20:00:00,161,27
17.10.2024 21:00:00,112,20
