Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 07/04  01:00:00,20.625,0.0,0.0,0.0,21.699369258522704,26.0,0.0,0.0 
 07/04  02:00:00,19.475000000000005,0.0,0.0,0.0,21.504834685051915,26.0,0.0,0.0 
 07/04  03:00:00,19.333333333333332,0.0,0.0,0.0,21.303746274854387,26.0,0.0,0.0 
 07/04  04:00:00,19.558333333333334,0.0,0.0,0.0,21.105973457690705,26.0,0.0,0.0 
 07/04  05:00:00,19.599999999999998,2.8333333333333335,0.0,0.0,20.91168847706499,26.0,0.0,0.0 
 07/04  06:00:00,18.316666666666666,19.25,0.0,0.0,20.73351731471961,26.0,0.0,0.0 
 07/04  07:00:00,17.05,40.666666666666664,0.0,0.0,20.568312189912355,26.0,0.0,0.0 
 07/04  08:00:00,16.916666666666668,64.41666666666667,0.3333333333333333,0.0,20.440945351152305,26.0,0.0,0.0 
 07/04  09:00:00,16.941666666666666,106.41666666666667,8.499999999999998,0.0,20.362710775964917,21.0,0.0,0.0 
 07/04  10:00:00,17.483333333333334,173.25,42.333333333333336,0.0,20.36117577308084,21.0,0.0,0.0 
 07/04  11:00:00,18.016666666666666,215.58333333333334,68.83333333333333,0.0,20.426608403082522,21.5,0.0,0.0 
 07/04  12:00:00,18.099999999999998,237.33333333333334,113.16666666666667,3.0,20.494487159230157,21.5,0.9999999999999999,0.0 
 07/04  13:00:00,18.391666666666666,277.75,183.58333333333334,3.0,19.958752048193883,20.0,0.9999999999999999,118.1515143772117 
 07/04  14:00:00,18.89166666666667,303.0833333333333,257.5833333333333,3.0,19.999999999928253,20.0,0.9999999999999999,108.88822705067751 
 07/04  15:00:00,19.566666666666666,280.4166666666667,367.1666666666667,3.0,20.0,20.0,0.9999999999999999,120.4627611357248 
 07/04  16:00:00,20.366666666666667,218.91666666666666,463.0,3.0,20.0,20.0,0.9999999999999999,127.42859149900126 
 07/04  17:00:00,21.224999999999998,163.83333333333334,465.0,3.0,20.0,20.0,0.9999999999999999,161.36384243419502 
 07/04  18:00:00,21.833333333333332,125.33333333333333,368.5833333333333,0.0,20.0,20.0,0.0,211.70943143574482 
 07/04  19:00:00,22.058333333333337,84.5,236.16666666666666,0.0,20.967633435179035,25.0,0.0,0.0 
 07/04  20:00:00,22.333333333333332,36.083333333333336,22.749999999999996,0.0,21.320304591911714,25.0,0.0,0.0 
