"Time","sensor-readings.reading"
1649081946000,9.8
1649082006000,9.5
1649082066000,9.1
1649082516000,9.7
1649082576000,10.1
1649082771000,9.8
1649082906000,10.1
1649083011000,10.5
1649083251000,10.1
1649083311000,9.8
1649083521000,10.1
1649083821000,9.8
1649084076000,10.1
1649084406000,10.5
1649084781000,10.1
1649085726000,10.5
1649085816000,10.8
1649086086000,11.1
1649086191000,10.8
1649086296000,10.5
1649086566000,10.1
1649086911000,10.5
1649087556000,10.8
1649087631000,11.1
1649087796000,11.5
1649088006000,11.1
1649088051000,10.8
1649088111000,10.5
1649088591000,10.8
1649088801000,10.5
1649088966000,10.1
1649089416000,10.5
1649089491000,10.8
1649089716000,10.5
1649089851000,10.1
1649090091000,9.8
1649090451000,9.5
1649091036000,9.8
1649091126000,10.1
1649091591000,9.8
1649091996000,9.5
1649092581000,9.1
1649093226000,8.7
1649093691000,8.4
1649094081000,7.7
1649094831000,7.3
1649095641000,7.7
1649096181000,7.3
1649096526000,7
1649098057000,6.6
1649098431000,6.2
1649098656000,5.8
1649099091000,5.5
1649099676000,5.1
1649100922000,4.7
1649103216000,4.3
1649103591000,5
1649103636000,5.3
1649104086000,5
1649104477000,4.6
1649105166000,3.9
1649105616000,4.3
1649106246000,3.9
1649106382000,3.6
1649106786000,3.9
1649107446000,3.6
1649107837000,3.9
1649107956000,4.3
1649108211000,3.9
1649108496000,3.6
1649108676000,3.2
1649109426000,2.8
1649112681000,3.2
1649112802000,3.6
1649113806000,3.2
1649113896000,2.8
1649114467000,3.2
1649114601000,3.6
1649115321000,3.9
1649116342000,3.6
1649116597000,3.2
1649117001000,2.8
1649117181000,3.2
1649117346000,3.6
1649118321000,3.2
1649119536000,3.6
1649120586000,3.2
1649121906000,2.8
1649122386000,3.2
1649122611000,2.8
1649126181000,3.2
1649126466000,2.8
1649126976000,3.2
1649127336000,2.8
1649128071000,3.2
1649128941000,3.6
1649129031000,3.9
1649129286000,3.6
1649129361000,3.2
1649129421000,2.8
1649129571000,2.1
1649130021000,1.1
1649130351000,0.8
1649131386000,1.1
1649132586000,1.7
1649132751000,2.1
1649132931000,2.4
1649134101000,2.8
1649134191000,3.2
1649134311000,3.6
1649134386000,3.9
1649135121000,3.6
1649135316000,3.2
1649135961000,2.8
1649136246000,3.2
1649136501000,3.6
1649136816000,3.9
1649137146000,3.6
1649137356000,3.9
1649137506000,4.3
1649137941000,3.9
1649138001000,3.6
1649138811000,3.9
1649138901000,4.3
1649139471000,5
1649139786000,4.6
1649139981000,3.9
1649140851000,4.3
1649141571000,5
1649141706000,5.3
1649141841000,5.7
1649141991000,5.3
1649142051000,5
1649142141000,4.6
1649142591000,3.9
1649142906000,3.6
1649143446000,3.9
1649143731000,4.3
1649143896000,5
1649143971000,5.3
1649144196000,5.7
1649144736000,6.1
1649144886000,6.5
1649145246000,6.8
1649145801000,6.5
1649146836000,6.8
1649147256000,7.2
1649147991000,7.6
1649149011000,8
1649149161000,8.3
1649149446000,8.7
1649150856000,9.1
1649151861000,9.7
1649152011000,10.1
1649152416000,10.5
1649152491000,10.8
1649152731000,11.1
1649153661000,10.8
1649153946000,11.1
1649154081000,11.5
1649154201000,11.8
1649154726000,11.5
1649155131000,11.1
1649156001000,11.5
1649156091000,11.8
1649156286000,12.1
1649156946000,12.5
1649157516000,12.8
1649157576000,13.1
1649158671000,13.5
1649158761000,13.8
1649159331000,13.5
1649160501000,13.8
1649160591000,14.1
1649160726000,13.8
1649160786000,13.5
1649161776000,13.8
1649161941000,14.1
1649162076000,14.5
1649162226000,14.8
1649162391000,15.1
1649162586000,15.5
1649163021000,15.1
1649163156000,14.8
1649163261000,14.5
1649163501000,14.8
1649163651000,15.1
1649163816000,14.8
1649163876000,14.5
1649164356000,14.8
1649164716000,15.1
1649164911000,15.5
1649165196000,15.8
1649165271000,16.1
1649165736000,15.8
1649166051000,16.1
1649167086000,16.8
1649167641000,17.1
1649167821000,16.8
1649168106000,17.1
1649168496000,16.8
1649169231000,17.1
1649169876000,16.8
1649170911000,16.2
1649171301000,15.8
1649171466000,15.5
1649171751000,15.1
1649172306000,14.8
1649173836000,15.1
1649174301000,14.8
1649174856000,14.5
1649175426000,14.8
1649177151000,15.1
1649178501000,15.5
1649178636000,15.8
1649179221000,15.5
1649179611000,15.1
1649180076000,14.8
1649180451000,14.5
1649180871000,14.1
1649181171000,13.8
1649182086000,13.5
1649182761000,13.1
1649183346000,12.8
1649183796000,12.5
1649184861000,12.1
1649185131000,11.8
1649185836000,11.5
1649186196000,11.1
1649186436000,10.8
1649187066000,10.5
1649187816000,10.8
1649189121000,11.1
1649191611000,10.8
1649191716000,10.5
1649192361000,10.8
1649192976000,10.5
1649194521000,10.1
1649194596000,9.8
1649195031000,10.1
1649195286000,9.8
1649196246000,9.5
1649197116000,9.8
1649198076000,9.5
1649198601000,9.1
1649198781000,8.7
1649198961000,9.1
1649199651000,8.7
1649199816000,8.4
1649201586000,7.7
1649201976000,7.3
1649203326000,7.7
1649203641000,8.1
1649206131000,8.7
1649206851000,8.4
1649207271000,7.7
1649208231000,7.3
1649208366000,7
1649208681000,6.6
1649209191000,7
1649209941000,6.6
1649211171000,7
1649212311000,7.3
1649212491000,7.7
1649212791000,7.3
1649212836000,7
1649212927000,6.6
1649213167000,6.2
1649217561000,5.8
1649218701000,6.2
1649218941000,5.8
1649219077000,6.2
1649219211000,6.6
1649219587000,6.2
1649219916000,6.6
1649220321000,6.2
1649220726000,6.6
1649220891000,7
1649221026000,7.3
1649221626000,7
1649223456000,7.3
1649224371000,7.7
1649224506000,8.1
1649224926000,8.7
1649225661000,9.1
1649225826000,9.7
1649225901000,10.1
1649226007000,10.5
1649226066000,10.8
1649226126000,11.1
1649226201000,11.5
1649226262000,11.8
1649226336000,12.1
1649226426000,12.5
1649226546000,12.8
1649226666000,13.1
1649226921000,13.5
1649227056000,13.1
1649227131000,12.8
1649227701000,12.4
1649227746000,12
1649227821000,11.6
1649228106000,12
1649228166000,12.3
1649228331000,12.6
1649228451000,13
1649228526000,13.3
1649228796000,13.6
1649229336000,14
1649229441000,14.3
1649229516000,14.6
1649229606000,15
1649230401000,14.6
1649230626000,14.3
1649230911000,14.6
1649231301000,14.3
1649231391000,14
1649231571000,13.6
1649231991000,14
1649232081000,14.3
1649232621000,14
1649233116000,14.3
1649233176000,14.6
1649233986000,15
1649234121000,15.3
1649234241000,15.6
1649234421000,16
1649234556000,16.6
1649234931000,16.3
1649235636000,16.6
1649236071000,17.3
1649236116000,17.6
1649236206000,18.4
1649237841000,18.8
1649237916000,19.1
1649237961000,18.8
1649238096000,18.2
1649238321000,17.8
1649238501000,18.1
1649238681000,17.8
1649239131000,18.1
1649241081000,17.8
1649241366000,18.1
1649241681000,18.8
1649242176000,19.1
1649242536000,18.8
1649242806000,19.1
1649242911000,19.7
1649243091000,19.4
1649243271000,18.8
1649243661000,19.1
1649243946000,19.7
1649244021000,20.1
1649244246000,19.8
1649244681000,20.1
1649245011000,19.6
1649245071000,19.3
1649245761000,19.6
1649245896000,19.3
1649246196000,19.6
1649246286000,20.2
1649246406000,19.8
1649246631000,19.1
1649247171000,19.7
1649247231000,20.1
1649247366000,20.7
1649247426000,21.1
1649247516000,21.7
1649247606000,21.4
1649247906000,20.8
1649247996000,20
1649248236000,19.6
1649248656000,19.3
1649249046000,19.6
1649249121000,20.2
1649249271000,19.9
1649249541000,20.2
1649249661000,20.6
1649249751000,20.3
1649250066000,20.6
1649250216000,20.3
1649250996000,20.6
1649251176000,20.3
1649251836000,20.6
1649252031000,20.1
1649252076000,19.7
1649252211000,19.4
1649252766000,19.7
1649253546000,19.4
1649253981000,19.7
1649254641000,19.4
1649255376000,19.7
1649255841000,19.4
1649256111000,19.7
1649256261000,19.4
1649256576000,19.7
1649256696000,20.1
1649256846000,19.8
1649258301000,20.1
1649258631000,19.8
1649258826000,20.1
1649259216000,19.8
1649259621000,20.1
1649260176000,19.8
1649260446000,20.1
1649260761000,19.8
1649261136000,20.1
1649261256000,19.8
1649261556000,19.1
1649261721000,18.8
1649264596000,18.2
1649265126000,17.8
1649266394000,17.2
1649266806000,17.8
1649266941000,18.1
1649267076000,17.8
1649267421000,17.2
1649268291000,16.8
1649268771000,16.2
1649269371000,15.8
1649270121000,15.5
1649271336000,15.1
1649271531000,15.5
1649272116000,15.8
1649272176000,16.1
1649272701000,16.8
1649272926000,16.2
1649273001000,15.8
1649273061000,15.5
1649273166000,15.1
1649273271000,14.8
1649273421000,14.5
1649274501000,14.1
1649275056000,13.8
1649275596000,13.5
1649276976000,13.1
1649278806000,12.8
1649279091000,12.5
1649279226000,12.1
1649279346000,11.8
1649280666000,11.5
1649280816000,11.1
1649280921000,10.8
1649281071000,10.5
1649281191000,10.8
1649281731000,11.1
1649281881000,11.5
1649282466000,11
1649282571000,10.6
1649283066000,10.3
1649284311000,10
1649284491000,9.6
