Time,THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
13:20:00,0.000000E+00,5.658263E+02,0.000000E+00,1.108766E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802052E+00,6.507133E+01,1.900000E+01,5.964007E+01
13:30:00,0.000000E+00,5.729400E+02,0.000000E+00,1.122706E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801904E+00,6.507198E+01,1.900000E+01,5.964007E+01
13:40:00,0.000000E+00,5.799172E+02,0.000000E+00,1.136378E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801758E+00,6.507262E+01,1.900000E+01,5.964007E+01
13:50:00,0.000000E+00,5.867412E+02,0.000000E+00,1.149750E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801612E+00,6.507326E+01,1.900000E+01,5.964007E+01
14:00:00,0.000000E+00,5.933887E+02,0.000000E+00,1.162776E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801467E+00,6.507390E+01,1.900000E+01,5.964007E+01
14:10:00,0.000000E+00,5.998150E+02,0.000000E+00,1.175369E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801323E+00,6.507453E+01,1.900000E+01,5.964007E+01
14:20:00,0.000000E+00,6.059921E+02,0.000000E+00,1.187474E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801181E+00,6.507516E+01,1.900000E+01,5.964007E+01
14:30:00,0.000000E+00,6.118979E+02,0.000000E+00,1.199046E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.801039E+00,6.507578E+01,1.900000E+01,5.964007E+01
14:40:00,0.000000E+00,6.172360E+02,0.000000E+00,1.209506E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.800898E+00,6.507641E+01,1.900000E+01,5.964007E+01
14:50:00,0.000000E+00,6.221152E+02,0.000000E+00,1.219068E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.800758E+00,6.507702E+01,1.900000E+01,5.964007E+01
