Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 07/29  21:00:00,28.71666666666667,0.0,0.0,0.0,21.896305846941996,22.0,0.0,265.53608276813793 
 07/29  22:00:00,28.76666666666667,0.0,0.0,0.0,21.999999999999858,22.0,0.0,362.1048762133846 
 07/29  23:00:00,29.21666666666667,0.0,0.0,0.0,22.0,22.0,0.0,372.4214297732274 
 07/29  24:00:00,29.066666666666666,0.0,0.0,0.0,22.0,22.0,0.0,350.41903869238166 
 07/30  01:00:00,28.900000000000002,0.0,0.0,0.0,21.002396458892637,21.0,0.0,568.8972652193692 
 07/30  02:00:00,28.55,0.0,0.0,0.0,20.999999999909683,21.0,0.0,468.4418921060353 
 07/30  03:00:00,27.483333333333334,0.0,0.0,0.0,21.0,21.0,0.0,406.1584479691364 
 07/30  04:00:00,26.258333333333336,0.0,0.0,0.0,21.0,21.0,0.0,357.763242593898 
 07/30  05:00:00,25.21666666666667,2.1666666666666665,18.499999999999996,0.0,21.0,21.0,0.0,317.81017080440307 
 07/30  06:00:00,24.974999999999998,25.083333333333332,104.91666666666667,0.0,21.0,21.0,0.0,294.53126739973936 
 07/30  07:00:00,25.508333333333336,97.75,144.41666666666666,0.0,21.0,21.0,0.0,294.7868521412596 
 07/30  08:00:00,26.441666666666666,163.5,254.0,0.0,21.0,21.0,0.0,319.8132821172164 
 07/30  09:00:00,27.833333333333332,194.0,429.8333333333333,0.0,21.0,21.0,0.0,353.99133869192747 
 07/30  10:00:00,30.891666666666666,232.75,487.5833333333333,0.0,21.0,21.0,0.0,397.8773826710172 
 07/30  11:00:00,33.65,263.5,522.75,0.0,21.0,21.0,0.0,443.54646545882935 
 07/30  12:00:00,34.80833333333333,368.6666666666667,368.25,0.0,21.0,21.0,0.0,489.5710141107872 
 07/30  13:00:00,35.858333333333334,455.1666666666667,205.33333333333334,0.0,21.0,21.0,0.0,542.0311037057717 
 07/30  14:00:00,36.34166666666667,455.25,177.25,0.0,21.0,21.0,0.0,585.9728654250375 
 07/30  15:00:00,37.11666666666667,425.8333333333333,113.91666666666667,0.0,21.0,21.0,0.0,622.2402327372077 
 07/30  16:00:00,36.300000000000004,337.25000000000006,38.083333333333336,0.0,21.0,21.0,0.0,632.341803068222 
 07/30  17:00:00,31.858333333333334,203.16666666666666,7.083333333333332,0.0,21.0,21.0,0.0,594.4158712879253 
