tick,datetime,agent_id,agent_uid_rank,meet_count,in_office,pt
27.1,2022-08-02 03:06:00,8,0,0,False,[52  0  0]
27.1,2022-08-02 03:06:00,9,0,0,False,[63  2  0]
27.1,2022-08-02 03:06:00,10,0,0,False,[89 14  0]
27.1,2022-08-02 03:06:00,11,0,0,False,[56 45  0]
27.1,2022-08-02 03:06:00,12,0,0,False,[99 18  0]
27.1,2022-08-02 03:06:00,13,0,0,False,[29 11  0]
27.1,2022-08-02 03:06:00,14,0,0,False,[40 10  0]
28.1,2022-08-02 04:06:00,0,0,0,False,[87 43  0]
28.1,2022-08-02 04:06:00,1,0,0,False,[ 5 39  0]
28.1,2022-08-02 04:06:00,2,0,0,False,[80  2  0]
28.1,2022-08-02 04:06:00,3,0,0,False,[83 35  0]
28.1,2022-08-02 04:06:00,4,0,0,False,[59 14  0]
28.1,2022-08-02 04:06:00,5,0,0,False,[82 25  0]
28.1,2022-08-02 04:06:00,6,0,0,False,[84 31  0]
28.1,2022-08-02 04:06:00,7,0,0,False,[59 28  0]
28.1,2022-08-02 04:06:00,8,0,0,False,[53  1  0]
28.1,2022-08-02 04:06:00,9,0,0,False,[64  1  0]
28.1,2022-08-02 04:06:00,10,0,0,False,[88 13  0]
28.1,2022-08-02 04:06:00,11,0,0,False,[55 44  0]
28.1,2022-08-02 04:06:00,12,0,0,False,[99 19  0]
28.1,2022-08-02 04:06:00,13,0,0,False,[30 10  0]
28.1,2022-08-02 04:06:00,14,0,0,False,[39 11  0]
